"検査項目","UID","H28対応項目","Unnamed: 3","検査項目(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","Unnamed: 9","Unnamed: 10","Unnamed: 11","Unnamed: 12","Unnamed: 13","Unnamed: 14","Unnamed: 15","Unnamed: 16","Unnamed: 17","Unnamed: 18","Unnamed: 19"
"血算","JkxirwY","F-02-03-na-08","説明→理解","血算、凝固・線溶検査、尿・糞便検査、生化学検査","血算","",2.0,"","","技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要","61-63が「臨床検査」となっているのに、ここで具体的な血液検査の項目が出てくると、レイヤーの異なりが目立つ","","","他所で行うので削除で良いのでは？","","","",""
"生化学検査","Jli6WW4","F-02-03-na-08","","","生化学検査","",2.0,"","","","","","","","","","","",""
"凝固・線溶検査","Jli6WW8","F-02-03-na-08","","","凝固・線溶検査","",2.0,"","","","","","","","","","","",""
"免疫血清学検査","Jli6WXE","F-02-03-na-11","","","免疫血清学検査","",2.0,"","","","","","","","","","","",""
"尿検査","Jli6WXI","F-02-03-na-08","","","尿検査","",2.0,"","","","","","","","","","","",""
"便検査","Jli6WXQ","F-02-03-na-08","","","便検査","",2.0,"","","","","","","","","","","",""
"削除","Jkxirwc","F-02-03-na-11","説明→理解","免疫血清学検査、輸血検査","削除","",2.0,"","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査","Jkxir08","F-02-13-na-02","動詞を変更","血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査","血液型（ABO、RhD）検査、血液交差適合（クロスマッチ）試験、不規則抗体検査","",2.0,"","","技能で審議しこのままとしました","","","実習で行っており、学生の医行為にも入っているので、「実施できる」でよいのでは。","","","","","",""
"動脈血ガス分析","JkxirxY","F-02-03-na-14","説明→理解","動脈血ガス分析","動脈血ガス分析","",2.0,"","経皮的酸素飽和度モニターについては身体所見に移動を(近藤)","技能で審議しこのままとしました","","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？で良いのでは？","","","",""
"妊娠反応検査","Jkxiryk","G-03-02-na-04","後半の動詞を変更","妊娠反応検査","妊娠反応検査","",2.0,"","治療計画から移動(近藤)(2022/2/14)","技能で審議しこのままとしました","・・説明でき、実演できる","","","","","","","",""
"細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）","JkxirxU","F-02-03-na-13","説明→理解","細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）","細菌学検査（細菌の塗抹、培養、同定、薬剤感受性試験）","",2.0,"","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","","「結果を解釈できる」はしっくりきます","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"脳脊髄液","Jkxirxc","F-02-03-na-15","説明→理解","脳脊髄液・胸水・腹水検査","脳脊髄液","",2.0,"","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"胸水検査","Jli6TOw","F-02-03-na-15","","","胸水検査","",2.0,"","","","","","","","","","","",""
"腹水検査","Jli6TO0","F-02-03-na-15","","","腹水検査","",2.0,"","","","","","","","","","","",""
"病理組織検査や細胞診検査（術中迅速診断を含む）","Jkxirwk","F-02-03-na-10,F-02-04-na-03,F-02-04-na-04","説明→理解","病理組織検査や細胞診検査（術中迅速診断を含む）","病理組織検査や細胞診検査（術中迅速診断を含む）","",2.0,"","フローサイトメトリーは知識への移行を考慮(近藤)(2022/2/14)","フローサイトメトリーは削除し、技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要
フローサイトメトリーをわざわざ書く理由がない（恐らく昭和コアカリの遺物）","「説明できる」でよいか？","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"","Jkxirxg","F-02-04-na-01","説明→理解","病理診断、細胞診","","Jkxirwkに統合",2.0,"","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"染色体・遺伝子検査","Jkxirwg","F-02-03-na-09","説明→理解","染色体・遺伝子検査","染色体・遺伝子検査","",2.0,"","","技能で審議しこのままとしました","61列に項目を記載すればここで個別は不要","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"心電図","JkxirxQ","F-02-03-na-12","説明→理解","生体機能検査（心電図、心臓機能検査、呼吸機能検査、超音波検査、内分泌・代謝機能検査、脳波検査、針筋電図検査、末梢神経伝導検査）","心電図","",2.0,"","計画と解釈両方を含んでいる(近藤)","技能で審議しこのままとしました","上の７５と統合","","","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","",""
"呼吸機能検査","Jli6Y7U","F-02-03-na-12","","","呼吸機能検査","",2.0,"","","","","","","","","","","",""
"内分泌・代謝機能検査","Jli6Y7Y","","","","内分泌・代謝機能検査","",2.0,"","","","","","","","","","","",""
"脳波検査","Jli6Y7c","F-02-03-na-12","","","脳波検査","",2.0,"","","","","","","","","","","",""
"超音波検査","JkxirxA","F-02-07-na-01,F-02-07-na-02,F-02-07-na-05","説明→理解","超音波検査","超音波検査","ママ",2.0,"","超音波検査の適応を説明できるに修正を提案(近藤)","技能で審議しこのままとしました","読影も","「説明できる」でよいか？","79に統合、削除","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","適応を述べるだけなら知識ではないでしょうか","エコーか超音波か、コアカリ全体で統一。"
"X線撮影","Jkxirw4","F-02-05-na-01","説明→理解","エックス線撮影、CT、MRIと核医学検査","X線撮影","24-27に分離",2.0,"","原理→適応に修正(近藤)(2022/2/14)","技能で審議しこのままとしました","原理の説明だけでなく、一定レベルまでの読影まで求めて（主要疾患のCT/MRIの読影ができる・・・等）下の84との統合しては","「説明できる」でよいか？","84と統合して削除？","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","原理だけなら知識でしょうか",""
"CT検査","Jli6aBM","","","","CT検査","24-27に分離",2.0,"","","","","","","","","","","",""
"MRI検査","Jli6aBU","","","","MRI検査","24-27に分離",2.0,"","","","","","","","","","","",""
"核医学検査","Jkxirxk","F-02-05-na-02","ママ","エックス線撮影、CT、MRIと核医学検査","核医学検査","24-27に分離",2.0,"","読影が説明できる→基本的な読影ができる(近藤)(2022/2/14)","読影できるとしました","「主要な疾患において読影できる（あるいは解釈できる）」まで求めてもいいと思います","","73と統合して「〜の原理、目的と適応を説明し、読影できる」としては？","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","73と統合でどうでしょうか",""
"内視鏡検査","Jkxirw8","F-02-06-na-01,F-02-06-na-02","ママ","内視鏡検査","内視鏡検査","",2.0,"","内視鏡検査の適応を説明できるに修正を提案(近藤)","技能で審議しこのままとしました","読影も","「説明できる」でよいか？","他とあわせて「〜の適応を説明し、結果を解釈できる」としては？","","統合というより知識。他所へ統合∴ここでは削除で良いのでは？","","","適応を述べるだけなら知識ではないでしょうか",""
