"主要に含まれない着目すべきもの","臓器","分類","項目名","H28対応項目","削除項目","追加項目","メモ"
"","耳鼻・咽喉・口腔系","症状・症候","いびき","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","内分泌・栄養・代謝系","症状・症候","エネルギー摂取の過剰または欠乏がもたらす身体症状","","","",""
"","神経系","症状・症候","けいれん","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害",""
"","救急系（中毒・環境因子による疾患を含む）","症状・症候","けいれん","E-02-03-na-03","","","新設"
"","感染症","症状・症候","けいれん","E-02-03-na-03","","",""
"","主要症候","症状・症候","けいれん","F-01-08-na-01,F-01-08-na-02,F-01-08-na-03,G-02-08-na-01,G-02-08-na-02,G-02-08-na-03,G-02-08-na-04,G-02-08-na-05,G-02-08-na-06","","",""
"重要","免疫・アレルギー","症状・症候","ショック","E-04-02-na-01","","","症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）"
"重要","感染症","症状・症候","ショック","E-02-03-na-01","","","症候をまとめるかセルに入れるか統一した方が良いと思います。（KY）"
"","皮膚系","症状・症候","そう痒","D-03-03-na-01","","具体的な皮膚所見を加えました（医師国家試験ガイドラインに準じて）","発疹（rash）とは一過性の皮疹を総称する用語である。ゆえに皮疹にしませんか（そもそも班に通知をお願いしたいと思います。）"
"多臓器","腎・尿路系（体液・電解質バランスを含む）","症状・症候","タンパク尿","","","",""
"多臓器","生殖機能","症状・症候","タンパク尿","D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05","","",""
"","内分泌・栄養・代謝系","症状・症候","ホルモンの過剰または欠乏がもたらす身体症状","","","",""
"","神経系","症状・症候","めまい","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害",""
"","眼・視覚系","症状・症候","めまい","D-13-03-02-01,D-13-03-02-02,D-13-03-02-03","","",""
"","耳鼻・咽喉・口腔系","症状・症候","めまい","D-14-02-na-01, D-14-02-na-02","","","そもそもチームのガイドに合わせ「嚥下障害」のみ"
"","主要症候","症状・症候","めまい","F-01-09-na-01,F-01-09-na-02,F-01-09-na-03,G-02-09-na-01,G-02-09-na-02,G-02-09-na-03,G-02-09-na-04,G-02-09-na-05,G-02-09-na-06,G-02-09-na-07","","",""
"","血液・造血器・リンパ系","症状・症候","リンパ節腫脹","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07","",""
"","免疫・アレルギー","症状・症候","リンパ節腫脹","E-04-02-na-06","","",""
"","感染症","症状・症候","リンパ節腫脹","E-02-03-na-09","","",""
"","主要症候","症状・症候","リンパ節腫脹","F-01-27-na-01,F-01-27-na-02,F-01-27-na-03,G-02-27-na-01,G-02-27-na-02,G-02-27-na-03,G-02-27-na-04,G-02-27-na-05,G-02-27-na-06","","",""
"","消化器系","症状・症候","下痢","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","主要症候","症状・症候","下痢","F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09","","",""
"","消化器系","症状・症候","下血","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","主要症候","症状・症候","下血","F-01-22-na-01,F-01-22-na-02,F-01-22-na-03,G-02-22-na-01,G-02-22-na-02,G-02-22-na-03,G-02-22-na-04,G-02-22-na-05,G-02-22-na-06,G-02-22-na-07,G-02-22-na-08","","",""
"","精神系","症状・症候","不安・抑うつ","D-15-02-na-02","","",""
"","主要症候","症状・症候","不安・抑うつ","F-01-31-na-01,F-01-31-na-02,F-01-31-na-03,G-02-31-na-01,G-02-31-na-02,G-02-31-na-03,G-02-31-na-04,G-02-31-na-05,G-02-31-na-06,G-02-31-na-07,G-02-31-na-08,G-02-31-na-09","","",""
"","生殖機能","症状・症候","不正性器出血","D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05","","",""
"","精神系","症状・症候","不眠","D-15-02-na-01, D-15-02-na-02, D-15-02-na-03","","",""
"","神経系","症状・症候","不随意運動（ミオクローヌス・舞踏運動・ジストニア・固定姿勢保持困難・アテトーシス・チック）","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","D-02-03-04-01","",""
"","乳房","症状・症候","乳房の腫脹・疼痛・変形","D-11-03-na-01,D-11-04-01-02","","",""
"","乳房","症状・症候","乳房腫瘤","D-11-03-na-01,D-11-04-01-02","","",""
"","生殖機能","症状・症候","乳汁漏出症","D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05","","",""
"","内分泌・栄養・代謝系","症状・症候","低身長","","","",""
"","循環器系","症状・症候","体重増加","D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18","",""
"","内分泌・栄養・代謝系","症状・症候","体重増加","","","",""
"","主要症候","症状・症候","体重増加","F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11","","",""
"","内分泌・栄養・代謝系","症状・症候","体重減少","","","",""
"","主要症候","症状・症候","体重減少","F-01-04-na-01,F-01-04-na-02,F-01-04-na-03,G-02-04-na-01,G-02-04-na-02,G-02-04-na-03,G-02-04-na-04,G-02-04-na-05,G-02-04-na-06,G-02-04-na-07,G-02-04-na-08,G-02-04-na-09,G-02-04-na-10,G-02-04-na-11","","",""
"","消化器系","症状・症候","便秘","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","主要症候","症状・症候","便秘","F-01-23-na-01,F-01-23-na-02,F-01-23-na-03,G-02-23-na-01,G-02-23-na-02,G-02-23-na-03,G-02-23-na-04,G-02-23-na-05,G-02-23-na-06,G-02-23-na-07,G-02-23-na-08,G-02-23-na-09","","",""
"","感染症","症状・症候","便秘・下痢・血便","E-02-03-na-19","","",""
"","血液・造血器・リンパ系","症状・症候","全身倦怠感","D-01-03-na-01,D-01-03-na-02, D-01-03-na-03, D-01-03-na-04, D-01-03-na-05, D-01-03-na-06,","D-01-03-na-04, D-01-03-na-05, D-01-03-na-07","",""
"","免疫・アレルギー","症状・症候","全身倦怠感","E-04-02-na-03","","",""
"","感染症","症状・症候","全身倦怠感","E-02-03-na-06","","",""
"","主要症候","症状・症候","全身倦怠感","F-01-02-na-01,F-01-02-na-02,F-01-02-na-03,G-02-02-na-01,G-02-02-na-02,G-02-02-na-03,G-02-02-na-04,G-02-02-na-05,G-02-02-na-06,G-02-02-na-07,G-02-02-na-08,G-02-02-na-09,G-02-02-na-10","","",""
"","血液・造血器・リンパ系","症状・症候","出血傾向","D-01-03-na-04, D-01-03-na-05,","","血栓傾向",""
"","生殖機能","症状・症候","勃起不全","D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05","","",""
"","循環器系","症状・症候","動悸","D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18","",""
"","主要症候","症状・症候","動悸","F-01-17-na-01,F-01-17-na-02,F-01-17-na-03,G-02-17-na-01,G-02-17-na-02,G-02-17-na-03","","",""
"","耳鼻・咽喉・口腔系","症状・症候","反回神経麻痺（嗄声）","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","耳鼻・咽喉・口腔系","症状・症候","口腔内異常","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","消化器系","症状・症候","吐血","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","救急系（中毒・環境因子による疾患を含む）","症状・症候","吐血","E-05-02-na-13","","",""
"","主要症候","症状・症候","吐血","F-01-22-na-01,F-01-22-na-02,F-01-22-na-03,G-02-22-na-01,G-02-22-na-02,G-02-22-na-03,G-02-22-na-04,G-02-22-na-05,G-02-22-na-06,G-02-22-na-07,G-02-22-na-08","","",""
"","感染症","症状・症候","吐血・下血","E-02-03-na-20","","",""
"","耳鼻・咽喉・口腔系","症状・症候","味覚障害","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","循環器系","症状・症候","呼吸困難","D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18","",""
"","呼吸器系","症状・症候","呼吸困難","D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","D-06-03-02-01,D-06-03-02-03の「息切れのみ」","","そもそもグループの記載ガイドに従う"
"","救急系（中毒・環境因子による疾患を含む）","症状・症候","呼吸困難","E-05-02-na-08","","",""
"","免疫・アレルギー","症状・症候","呼吸困難","E-04-02-na-08","","","息切れ削除"
"","主要症候","症状・症候","呼吸困難","F-01-15-na-01,F-01-15-na-02,F-01-15-na-03,G-02-15-na-01,G-02-15-na-02,G-02-15-na-03,G-02-15-na-04,G-02-15-na-05,G-02-15-na-06,G-02-15-na-07,G-02-15-na-08","","",""
"","感染症","症状・症候","呼吸困難・息切れ","E-02-03-na-13","","",""
"","呼吸器系","症状・症候","呼吸数・リズムの異常","D-06-03-01-01,D-06-04-01-01,D-06-04-01-02","","D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）","D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）"
"","循環器系","症状・症候","咳・痰","D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18","",""
"","呼吸器系","症状・症候","咳・痰","D-06-03-02-01, D-06-03-02-02, D-06-03-02-03, D-06-03-02-04, D-06-03-02-05","D-06-03-02-01,D-06-03-02-03の「息切れのみ」","","そもそもグループの記載ガイドに従う"
"","免疫・アレルギー","症状・症候","咳・痰","E-04-02-na-09","","",""
"","感染症","症状・症候","咳・痰","E-02-03-na-14","","",""
"","主要症候","症状・症候","咳・痰","F-01-13-na-01,F-01-13-na-02,F-01-13-na-03,G-02-13-na-01,G-02-13-na-02,G-02-13-na-03,G-02-13-na-04,G-02-13-na-05,G-02-13-na-06,G-02-13-na-07","","",""
"多臓器","耳鼻・咽喉・口腔系","症状・症候","咽頭痛","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"多臓器","感染症","症状・症候","咽頭痛","","","","新設"
"","耳鼻・咽喉・口腔系","症状・症候","唾液分泌異常","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","呼吸器系","症状・症候","喘鳴","D-06-03-01-01,D-06-04-01-01,D-06-04-01-02","","D-06-03-02-01-03（新設）,D-06-03-02-01-04,（新設）","D-06-04-01-01と-D-06-04-01-02は統合して呼吸不全（Ⅰ/Ⅱ形呼吸不全としてはいかがでしょうか）"
"","耳鼻・咽喉・口腔系","症状・症候","嗅覚障害","D-14-03-01-01","","D-14-03-01-01を細分化し①～⑬（うち⑦～⑬新設）",""
"","耳鼻・咽喉・口腔系","症状・症候","嚥下困難","D-14-02-na-01, D-14-02-na-02","","","そもそもチームのガイドに合わせ「嚥下障害」のみ"
"","主要症候","症状・症候","嚥下困難","F-01-19-na-01,F-01-19-na-02,F-01-19-na-03,G-02-19-na-01,G-02-19-na-02,G-02-19-na-03,G-02-19-na-04,G-02-19-na-05,G-02-19-na-06,G-02-19-na-07","","",""
"","救急系（中毒・環境因子による疾患を含む）","症状・症候","地域の救急医療体制について病院前救護体制、メディカルコントロール、初期・二次・三次救急医療の概念を用いて説明できる","G-04-01-07-05","","","新設"
"","循環器系","症状・症候","失神","D-05-03-na-04, D-05-03-na-06, D-05-03-na-09, D-05-03-na-10, D-05-03-na-12, D-05-03-na-13, D-05-03-na-14, D-05-03-na-19","D-05-03-na-01, D-05-03-na-02, D-05-03-na-03, D-05-03-na-04, D-05-03-na-07, D-05-03-na-08, D-05-03-na-15, D-05-03-na-16, D-05-03-na-17, D-05-03-na-18","",""
"","救急系（中毒・環境因子による疾患を含む）","症状・症候","失神","E-05-02-na-03","","",""
"","主要症候","症状・症候","失神","F-01-07-na-01,F-01-07-na-02,F-01-07-na-03,G-02-07-na-01,G-02-07-na-02,G-02-07-na-03,G-02-07-na-04,G-02-07-na-05,G-02-07-na-06,G-02-07-na-07,G-02-07-na-08,G-02-07-na-09","","",""
"","神経系","症状・症候","失語症・構音障害","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","D-02-03-04-01","",""
"","乳房","症状・症候","女性化乳房","D-11-03-na-01,D-11-04-01-02","","",""
"","生殖機能","症状・症候","射精障害","D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05","","",""
"","神経系","症状・症候","小脳性・前庭性・感覚性運動失調障害","D-02-03-01-01, D-02-03-01-02,　D-02-03-01-03, D-02-03-03-01, D-02-03-04-02, D-02-03-04-03","D-02-03-04-01","",""
"","腎・尿路系（体液・電解質バランスを含む）","症状・症候","尿量・排尿の異常","","","",""
"","生殖機能","症状・症候","尿量・排尿の異常","D-09-03-02-01,D-09-03-02-02,D-09-03-02-04","","",""
"","主要症候","症状・症候","尿量・排尿の異常","F-01-28-na-01,F-01-28-na-02,F-01-28-na-03,G-02-28-na-01,G-02-28-na-02,G-02-28-na-03,G-02-28-na-04,G-02-28-na-05,G-02-28-na-06,G-02-28-na-07","","",""
"","精神系","症状・症候","幻覚・妄想","D-15-02-na-01, D-15-02-na-02, D-15-02-na-03","","",""
"","精神系","症状・症候","心気症","D-15-02-na-01, D-15-02-na-02, D-15-02-na-03","","",""
"","生殖機能","症状・症候","性交痛","D-09-03-01-01,D-09-03-01-02, D-09-03-02-03、D-09-03-03-01,D-09-03-04-01,D-09-03-04-05","","",""
"","妊娠と分娩","症状・症候","性器出血","F-01-30-na-01,F-01-30-na-02,F-01-30-na-03, G-02-30-na-01,G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05","","①性器出血、②月経異常",",G-02-30-na-02,G-02-30-na-03,G-02-30-na-04,G-02-30-na-05"
"","消化器系","症状・症候","悪心・嘔吐","D-07-03-02-01,D-07-03-02-02,D-07-03-02-03,D-07-03-02-04,D-07-03-02-05,D-07-03-02-06,D-07-03-02-07","","",""
"","妊娠と分娩","症状・症候","悪心・嘔吐","D-10-02-na-01,D-10-02-na-02,D-10-02-na-03","","",""
"","眼・視覚系","症状・症候","悪心・嘔吐","D-13-03-02-01,D-13-03-02-02,D-13-03-02-03","","",""
"","救急系（中毒・環境因子による疾患を含む）","症状・症候","悪心・嘔吐","E-05-02-na-11","","",""
"","感染症","症状・症候","悪心・嘔吐","E-02-03-na-18","","","編集あり"
"","主要症候","症状・症候","悪心・嘔吐","F-01-21-na-01,F-01-21-na-02,F-01-21-na-03,G-02-21-na-01,G-02-21-na-02,G-02-21-na-03,G-02-21-na-04,G-02-21-na-05,G-02-21-na-06,G-02-21-na-07,G-02-21-na-08,G-02-21-na-09","","",""
"","神経系","症状・症候","意識障害","D-02-03-na-01, D-02-03-na-02, D-02-03-na-03, D-02-03-na-04, D-02-03-na-05","","⑤運動麻痺・筋力低下、⑥歩行障害、⑦感覚障害",""
