"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","全体編集コメント","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 25"
"患者の情報収集","医療面接","","JkxirsY","F-03-02-na-01,G-04-04-na-02","適切な身だしなみ、言葉遣い及び態度で患者に接することができる。,模擬患者の協力を得て、臨床技能（コミュニケーションスキルを含む）や医療者に求められる態度を身に付ける。","","削除:適切な身だしなみ、言葉遣い及び態度で患者に接することができる。","","","","","","","","対応しました","他領域","コミュと重なる","コミュ3,4と重複","","重複∴削除","","","","",""
"患者の情報収集","医療面接","医療面接における基本的コミュニケーション技法を用いることができる。","Jkxirsc","F-03-02-na-02","医療面接における基本的コミュニケーション技法を用いることができる。","医療面接における基本的コミュニケーション技法を用いることができる。","医療面接における基本的コミュニケーション技法を用いることができる。","医療面接における基本的コミュニケーション技法を用いることができる。","ママ","",1.0,"","医療面接における基本的コミュニケーション技法を用いることができる。","コミュではなく技能で扱う(2022/2/7)(近藤)","技能(技能+コミュ)で審議し技能で扱うこととしました","コミュニケーション領域へ","コミュと重なる","コミュ7と重複。基本的コミュニケーションスキルとは具体的に何か記載がないと、カリキュラム立案に反映しにくい。入れるとしても「医療面接において」では。","","問が漠然としているので削除で良いのでは？","","","","",""
"患者の情報収集","医療面接","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","Jkxirsg","F-03-02-na-03","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","ママ","",1.0,"","病歴（主訴、現病歴、常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、システムレビュー）を聴き取り、情報を取捨選択し整理できる。","","技能(技能+コミュ)で審議しこのままとしました","","","網羅的に聞き取った上で取捨選択するのではなく、鑑別疾患を考えながら必要な情報を聴取していくアプローチを学ぶ必要があることを表現できたらと思うので、「主訴に対する鑑別疾患を想起しながら、その吟味に必要な病歴（....）を聴取できる」","","","臨床推論の最重要項目であり医師の能力が大きく作用する現病歴について、ある程度アンケートでも記載できる常用薬、アレルギー歴、既往歴、家族歴、嗜好、生活習慣、社会歴・職業歴、生活環境、家庭環境、海外渡航歴、と同列に扱われてきているのが気になっておりました。OSCEでも、十分に現病歴をとらずに家族歴、既往歴に進んでしまう残念な学生がいるので重点的に指導しておりますが、学ぶ方も教える方も意識改革が必要そうです。診療参加の本幹である、日々の診療・カルテ記載の基本にもなりますので、別枠の方が良いのではと思いました。
『主訴を正確に把握して鑑別診断を想起し、詳細に現病歴（発症様式、経過と場 所、質、放散痛、程度、軽快因子、増悪因子、随伴症状など）を聴取することができる。』など。一意見でした。","","","",""
"患者の情報収集","医療面接","","Jkxirsk","F-03-05-01-01","患者の立場を尊重し、信頼を得ることができる。","","削除:患者の立場を尊重し、信頼を得ることができる。","","","","","","","","対応しました","","コミュ13と重なる","","","問が漠然としているので削除、またはコミュに統合で良いのでは？","","","","",""
"患者の情報収集","医療面接","患者に関わる人たちから必要な情報を得ることが参加できる。","Jkxirso","F-03-05-08-04,G-04-01-03-04","保護者から必要な情報を得たり対応したりすることに可能な範囲で参加できる。,保護者から必要な情報を得たり対応したりすることに可能な範囲で参加する。","患者に関わる人たちから必要な情報を得ることが参加できる。","患者に関わる人たちから必要な情報を得ることが参加できる。","","コミュ27と重複","",1.0,"","患者に関わる人たちから必要な情報を得ることが参加できる。","コミュではなく技能で扱う、保護者→患者に関わる人たち(さらに良い言葉があれば変更)(2022/2/7)(近藤)","対応しました","","高齢者の場合も「保護者」なのか？","コミュ26と重複。小児の項目なのでしょうが、成人でも認知症の方の家族や知人・行政関係者などの代理人（代理意思決定者を含む）から情報を得る場面はあるので、一般化して「必要に応じて家族や家族以外の代理人から患者に関する情報を得たり対応したりすることに、指導医とともに参加できる」","","保護者→保護者や第三者で良いのでは？","","可能な範囲でという言葉がやや抽象的か。","","","【宮地】コミュ27との区別をどうつけるか？"
"患者の情報収集","身体所見","患者の状態に応じた診察ができる。","Jkxirss","F-03-05-01-06","患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。","患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。","患者の状態から診察が可能かどうかを判断し、状態に応じた診察ができる。","患者の状態に応じた診察ができる。","査読者Iの意見、遠隔診療まで行われている今日、診察が不可能、という状況が想定しにくい","",2.0,"","患者の状態に応じた診察ができる。","","技能で審議しこのままとしました","","","学生の独断では難しいと思うので、「〜を判断し、指導医と相談した上で状態に応じた診察ができる」ではどうでしょうか","","ができる→の重要性を理解できる（実施は学生レベルを超えることが多い）","","","「患者の状態に応じた診療ができる」だけではだめでしょうか","",""
"患者の情報収集","身体所見","","Jkxirsw","F-03-05-02-01","身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。","","削除:身長・体重を測定し、body mass index <BMI>の算出、栄養状態を評価できる。","","","","","","","","対応しました","この項目が独立して必要でしょうか","","総合77と重複。","","単独項目にするほどではない→他所へ統合または割愛で良いのでは？","","","","",""
"患者の情報収集","身体所見","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","Jkxirs8","F-03-05-02-07","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","","",1.0,"","全身の外観（体型、栄養、姿勢、歩行、顔貌、皮膚、発声）を評価できる。","バイタルより上に移動(2022/2/7)(近藤)","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。","Jkxirs0","F-02-09-02-02,F-03-05-02-05,F-03-05-02-04,F-03-05-02-02,F-03-05-02-06,F-03-06-02-05","基本的バイタルサイン（体温、呼吸、脈拍、血圧）の意義とモニターの方法を説明できる。,腋窩で体温を測定できる。,呼吸数を測定し、呼吸の異常の有無を確認できる。,上腕で触診、聴診法により血圧を測定できる。,下肢の動脈の触診等、下腿の血圧測定（触診法）、大腿の血圧測定（聴診法）を実施できる。,経皮的酸素飽和度を測定できる。","バイタルサイン（体温、呼吸数、酸素飽和度、脈拍、血圧）の測定ができる。","バイタルサイン(体温、呼吸数、酸素飽和度、脈拍、血圧)の測定ができる","バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。","査読者Iの意見","",2.0,"","バイタルサイン（体温、脈拍、血圧、呼吸数、酸素飽和度）の測定ができる。","(腋窩)(橈骨)(上肢・下肢)を削除(2022/2/7)(近藤)","対応しました","（）のなかの（）という記載を修正可能なら","","","","","卒業時ですので、・・・測定ができ、おもな異常所見を指摘できる。　ごよいのでは、","","","医師国家試験等の記載順に合わせ、体温、脈拍、血圧、呼吸数、酸素飽和度の順に記載するのはいかがでしょうか。",""
"患者の情報収集","身体所見","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","Jkxirs4","F-03-02-na-04","診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","ママ","",1.0,"","適切な体位（立位、座位、半座位、臥位、砕石位）で診察できる。","","対応しました","説明できるではなく、対位をとらせることができる","説明できる→患者にとってもらうことができる","","","","を説明し、実施できる。？","","実施でいいと思います","",""
"患者の情報収集","身体所見","部位毎の身体診察[@tbl:身体診察]ができる。","","F-03-02-na-04","診察時に患者に適切な体位（立位、座位、半座位、臥位、砕石位）を説明できる。","","","部位毎の身体診察[@tbl:身体診察]ができる。","新設","",2.0,"","部位毎の身体診察[@tbl:身体診察]ができる。","","","","","","","","","","","",""
"患者の情報収集","身体所見","","JkxirtA","F-03-05-03-01","頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。","頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。","頭部（顔貌、頭髪、頭皮、頭蓋）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxirtE","F-03-05-03-02","眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。","眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。","眼（視野、瞳孔、対光反射、眼球運動・突出、結膜）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxirtI","F-03-05-03-03","耳（耳介、聴力）の診察ができる。","耳（耳介、聴力）の診察ができる。","耳（耳介、聴力）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxirtM","F-03-05-03-04","耳鏡で外耳道、鼓膜を観察できる。","耳鏡で外耳道、鼓膜を観察できる。","耳鏡で外耳道、鼓膜を観察できる。","","別表に","","","","","","","","","","","","","","","",""
"患者の情報収集","身体所見","","JkxirtQ","F-03-05-03-06","口唇、口腔、咽頭、扁桃の診察ができる。","口唇、口腔、咽頭、扁桃の診察ができる。","口唇、口腔、咽頭、扁桃の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxirtU","F-03-05-03-07","鼻腔、副鼻腔の診察ができる。","副鼻腔の診察ができる。","副鼻腔の診察ができる。","","別表に","","","","","","","","","","","","","","","",""
"患者の情報収集","身体所見","","JkxirtY","F-03-05-03-08","鼻鏡を用いて前鼻腔を観察できる。","鼻鏡を用いて前鼻腔を観察できる。","鼻鏡を用いて前鼻腔を観察できる。","","別表に","","","","","","","","","","","","","","","",""
"患者の情報収集","身体所見","","Jkxirtc","F-03-05-03-09","甲状腺、頸部血管、気管、唾液腺の診察ができる。","甲状腺、頸部血管、気管、唾液腺の診察ができる。","甲状腺、頸部血管、気管、唾液腺の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirtg","F-03-05-03-10","頭頸部リンパ節の診察ができる。","頭頸部リンパ節の診察ができる。","頭頸部リンパ節の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirtk","F-03-05-04-01","胸部の視診、触診、打診ができる。","胸部の視診、触診、打診ができる。","胸部の視診、触診、打診ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirto","F-03-05-04-02","呼吸音と副雑音の聴診ができる。","呼吸音と副雑音の聴診ができる。","呼吸音と副雑音の聴診ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirts","F-03-05-04-03","心音と心雑音の聴診ができる。","心音と心雑音の聴診ができる。","心音と心雑音の聴診ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirtw","F-03-05-05-01,F-03-05-05-03,F-03-05-05-02,F-03-05-05-04,F-03-05-05-05","腹部の視診、聴診ができる。,圧痛、腹膜刺激徴候、筋性防御の有無を判断できる。,区分に応じて腹部の打診、触診ができる。,腹水の有無を判断できる。,腸雑音、血管雑音の聴診ができる。","腹部の視診、聴診（腸雑音、血管雑音）、打診、触診ができる。","腹部の視診、聴診(腸雑音、血管雑音)、打診、触診ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxiruE","F-03-05-04-04","背部の叩打痛を確認できる。","背部の叩打痛を確認できる。","背部の叩打痛を確認できる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","JkxiruI","F-03-05-05-06","直腸（前立腺を含む）指診を実施できる（シミュレータでも可とする）。","直腸（前立腺を含む）指診を実演できる。","直腸（前立腺を含む）指診を実演できる。","","別表に","","","","","実施できる→実演できるでは?(近藤)","技能で審議しこのままとしました。実施と実演に関しては別途注釈予定。","実施と実演の違いは？
シミュレータについて考慮しているなら記載した方がよいのでは（方略ですが）","","","","","","","実際にやるかどうかはともかくとして実施できるでいいと思います","",""
"患者の情報収集","身体所見","","JkxiruM","F-03-05-04-05","乳房の診察を実施できる（シミュレータでも可とする）。","乳房の診察を実演できる。","乳房の診察を実演できる。","","別表に","","","","","実施できる→実演できるでは?(近藤)","技能で審議しこのままとしました。実施と実演に関しては別途注釈予定。","実施と実演の違いは？
シミュレータについて考慮しているなら記載した方がよいのでは（方略ですが）","","","","","を行い、主な異常の有無を指摘できる。","","実際にやるかどうかはともかくとして実施できるでいいと思います","",""
"患者の情報収集","身体所見","","JkxiruQ","F-03-05-06-01","意識レベルを判定できる。","意識レベルを判定できる。","意識レベルを判定できる。","","別表に","","","","","","技能で審議しこのままとしました","JCS◯◯とかグラスゴー◯◯とかが判定できればよい？それとも意識レベルについて判断できるレベルを求める？","","","","","","","","",""
"患者の情報収集","身体所見","","JkxiruU","F-03-05-06-02,G-03-02-na-06,F-03-05-03-05","脳神経系の診察ができる（眼底検査を含む）。,視力、視野、聴力、平衡機能検査を実施できる。,音叉を用いて聴力試験を実施できる。","脳神経系の診察ができる。","脳神経系の診察ができる（眼底検査を含む）。","","別表に","","","","","","技能で審議しこのままとしました","","眼底検査は別でもいいかも","","","","の診察を行い、主な異常の有無を指摘できる。眼底検査の実施は、不要では？学生に眼底鏡で診察させている大学あるでしょうか？","","","",""
"患者の情報収集","身体所見","","","","","眼底検査ができる。","脳神経系の診察ができる（眼底検査を含む）。","","別表に","","","","","脳神経検査から分離","","","","","","","","","","",""
"患者の情報収集","身体所見","","JkxiruY","F-03-05-06-03","腱反射の診察ができる。","腱反射の診察ができる。","腱反射の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiruc","F-03-05-06-04","小脳機能・運動系の診察ができる。","小脳機能・運動系の診察ができる。","小脳機能・運動系の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxirug","F-03-05-06-05","感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。","感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。","感覚系（痛覚、温度覚、触覚、深部感覚）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiruk","F-03-05-06-06","髄膜刺激所見（項部硬直、Kernig徴候）を確認できる。","髄膜刺激所見を確認できる。","髄膜刺激所見を確認できる。","","別表に","","","","","（項部硬直、Kernig徴候）を削除(2022/2/7)(近藤)","対応しました","","","","","Kernig徴候：陰性尤度比が1に近く（陰性でも腰椎穿刺は必要）、k値も低い（判定が難しい）ので割愛で良いのでは？","を行い、異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiruo","F-03-05-07-01","四肢と脊柱（弯曲、疼痛）の診察ができる。","四肢と脊柱（弯曲、疼痛）の診察ができる。","四肢と脊柱（弯曲、疼痛）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiruw","F-03-05-07-02","関節（可動域、腫脹、疼痛、変形）の診察ができる。","関節（可動域、腫脹、疼痛、変形）の診察ができる。","関節（可動域、腫脹、疼痛、変形）の診察ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","の診察を行い、主な異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","","Jkxiru0","F-03-05-07-03","筋骨格系の診察（徒手筋力テスト）ができる。","筋骨格系の診察（徒手筋力テスト）ができる。","筋骨格系の診察（徒手筋力テスト）ができる。","","別表に","","","","","","技能で審議しこのままとしました","","","","","","を行い、異常の有無を指摘できる。","","","",""
"患者の情報収集","身体所見","主要診療科[@tbl:主要診療科]において必要な診察ができる。","Jkxiru4","G-04-02-01-04,G-04-02-02-04,G-04-02-03-04,G-04-02-04-04,G-04-02-05-04,G-04-02-06-04,G-04-02-07-04,G-04-02-08-04,G-04-02-09-04,G-04-02-10-04,G-04-02-11-04,G-04-02-13-03,G-04-02-14-04,G-04-02-15-04,G-04-01-01-05,G-04-01-03-06,F-03-05-08-06,G-04-01-04-06","該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,該当診療科の基本的な診察技能について学ぶ。,基本的な内科的診察技能について学ぶ。,基本的な小児科診察技能について学ぶ。,基本的な小児科診察ができる。,基本的な婦人科診察技能について学ぶ。","主要診療科[^table:主要診療科]における診察ができる。","主要診療科[^table:主要診療科]における診察ができる。","主要診療科[@tbl:主要診療科]において必要な診察ができる。","「主要診療科における診察」が何を指すのかわかりにくいと考え、「必要な診察」としました。","",2.0,"","主要診療科[@tbl:主要診療科]において必要な診察ができる。","以下から統合(脳神経外科,泌尿器科,麻酔科,リハビリテーション科,眼科,歯科口腔外科,皮膚科,病理診断科,臨床検査科,放射線科,耳鼻咽喉科,形成外科,整形外科,その他)(近藤)","基本診療科は別表に記載される診療科を指します。","別テーブルによる記載は冗長な繰り返しを避ける意味で良い考えだと思います","「診療技能」という言葉が抽象的","11から40までの診察技能とはまた別に何か必要な診察技能があるということでしょうか？それであれば明記したほうがよいのでは？","","基本診療科の定義が不明（新専門医制度の基本19領域を指すのであれば、広すぎて不適）では？","基本診療科[^table:基本診療科]において・・・・・・・。』の記述ですが、主に記載されている診察以外に各診療科の診察で、将来、何科に進むにも大切な診察を教えてほしい意味で、記載されていたと思います。現在のところ、主な診察手技の記載では、皮膚所見が見当たりません？？が、それ以外は、ほぼ診察は網羅されて記載されているように思われます。救急、等他も、現在記載されているもので大丈夫であれば、この項目は削除でもよいと思ますが、このような経過があったと思いますので、報告いたします。
その後も何度か　基本診療科[^table:基本診療科]において　　・・・　が出てきます。鑑別、検査、治療等。","","診療技能、が何をさすのかが難しいですね","",""
"患者情報の統合、分析と評価、診療計画","カルテ記載","適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。","Jkxiru8","F-03-03-na-01,G-03-01-na-16","適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。,診療録（カルテ）を作成する。","適切に患者の情報を収集し、問題志向型医療記録（POMR）を作成できる。","適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。","適切に患者の情報を収集し、問題志向型医療記録（POMR）を作成できる。","ママ","",1.0,"","適切に患者の情報を収集し、問題志向型医療記録<POMR>を作成できる。","","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","カルテ記載","診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。","JkxirvA","F-03-03-na-02","診療経過を主観的所見・客観的所見・評価・計画<SOAP>で記載できる。","診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。","診療経過を主観的所見・客観的所見・評価・計画<SOAP>で記載できる。","診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。","ママ","",2.0,"","診療経過をSOAP（主観的所見・客観的所見・評価・計画）で記載できる。","","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","カルテ記載","過去の診療経過をまとめて診療録に記載できる","JkxirvE","","","過去の診療経過をまとめて診療録に記載できる。","過去の診療経過をまとめて診療録に記載できる","過去の診療経過をまとめて診療録に記載できる。","ママ","",1.0,"","過去の診療経過をまとめて診療録に記載できる","カルテ→診療録(2022/2/7)(近藤),新設、第2層「情報収集」に存在した第3層「検査結果」及び「治療経過」は過去の資料の収集を意図したものであったため、「カルテ記載」に移動した(近藤)","病歴・身体所見に加えて過去の情報の収集ということを意図しました","情報チームと協働して、電子カルテへの記載についても考えてください
（診療技能としてのカルテ記載は技能、電カルについての技能や態度は情報になるとは思いますが、相互に参照できるようなあるとベターです）","","","","","カルテ記載は、診療参加の本幹であり、強調してもよいのではとおもいました。定期的にサマリーを記載できる。などは、教える立場の意識改革にもつながり重要なのでは。本当は、退院総括が理想ですが。","","サマリーという意味でしょうか？あえて新設した意義は？","",""
