"第2層","第3層","第4層","UID","H28対応項目","H28表記","第4層(技術参与清書)","第4層(20220302査読直前)","修正提案(20220302)","査読コメント(20220302)","全体編集コメント","チームからの返信（原案どおりなら１、修正案に賛成なら２）","チームからのコメント（あれば）","第4層(計算列)","メモ","査読への返答","A","B","C","D","E","F","G","H","I","Unnamed: 25"
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","周術期における主な薬剤の服薬管理（継続、中止等）の必要性とそれに伴うリスクについて理解している。","Jkxirzs","F-02-09-02-06","周術期における主な薬剤の服薬管理（継続、中止等）の必要性とそれに伴うリスクの基本を説明できる。","周術期における主な薬剤の服薬管理（継続、中止等）の必要性とそれに伴うリスクの基本を説明できる。","周術期における主な薬剤の服薬管理（継続、中止等）の必要性とそれに伴うリスクの基本を説明できる。","周術期における主な薬剤の服薬管理（継続、中止等）の必要性とそれに伴うリスクについて理解している。","理解→説明","",2.0,"","周術期における主な薬剤の服薬管理（継続、中止等）の必要性とそれに伴うリスクについて理解している。","","技能で審議しこのままとしました","〜服薬管理（継続、中止等）の必要性を判断し、指導医とともに計画をたてることができる","","","","","を理解し、提案できる。？","","116と117はまとめて周術期の管理でいいような気がします","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","周術期における輸液・輸血について理解している。","Jkxirzw","F-02-09-02-07","周術期管理における輸液・輸血の基本を説明できる。","周術期における輸液・輸血の基本を説明できる。","周術期における輸液・輸血の基本を説明できる。","周術期における輸液・輸血について理解している。","理解→説明","",2.0,"","周術期における輸液・輸血について理解している。","","技能で審議しこのままとしました","","","","","","を理解し、提案できる。？","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","周術期における疼痛の管理について理解している。","Jkxirz0","F-02-09-02-08","術後痛の管理を説明できる。","周術期における疼痛の管理を説明できる。","周術期における疼痛の管理を説明できる。","周術期における疼痛の管理について理解している。","理解→説明","",2.0,"","周術期における疼痛の管理について理解している。","","技能で審議しこのままとしました","術後の疼痛に対して、計画的な対応を考案し、指導とともに実施することができる","","","","","を理解し、提案できる。？","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxirz4","F-02-09-02-09","術後回復室の役割を概説できる。","","削除:術後回復室の役割を説明できる。","","","","","","","","削除しました","一定の経験目標を入れてもいいかとは思います","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxirz8","F-02-09-02-10","集中治療室の役割を概説できる。","","削除:集中治療室の役割を説明できる。","","","","","","","","削除しました","〜役割を概説でき、指導医とともに患者治療に参加できる","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir0A","F-02-10-na-01","麻酔の概念、種類と麻酔時の生体反応を説明できる。","","削除:麻酔の概念、種類と麻酔時の生体反応を説明できる。","","","","","","","「局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応、禁忌と合併症を概説できる。」に統合(近藤)(2022/2/14)","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応、禁忌と合併症について理解している。","Jkxir0Q","F-02-10-na-06,F-02-10-na-01","局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応、禁忌と合併症を概説できる。,麻酔の概念、種類と麻酔時の生体反応を説明できる。","局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応、禁忌と合併症を説明できる。","局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応、禁忌と合併症を説明できる。","局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応、禁忌と合併症について理解している。","理解→説明","",2.0,"","局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応、禁忌と合併症について理解している。","","技能で審議しこのままとしました","局所麻酔、末梢神経ブロック、神経叢ブロック、脊髄くも膜下麻酔、硬膜外麻酔の適応と方法、禁忌、合併症を説明でき、指導医のもとで経験する（目標にならないか・・・）","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","麻酔管理を安全に行うための術前評価について理解している。","Jkxir0E","F-02-10-na-02","麻酔管理を安全に行うための術前評価と呼吸管理を概説できる。","麻酔管理を安全に行うための術前評価を説明できる。","麻酔管理を安全に行うための術前評価を説明できる。","麻酔管理を安全に行うための術前評価について理解している。","理解→説明","",2.0,"","麻酔管理を安全に行うための術前評価について理解している。","「と呼吸管理」を削除(近藤)(2022/2/14)","技能で審議しこのままとしました","術前評価と呼吸管理計画を指導医とともに立てることができる","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","安全な麻酔のためのモニタリングの方法、重要な異常所見と対処法について理解している。","Jkxir0U","F-02-10-na-07","安全な麻酔のためのモニタリングの方法、重要な異常所見と対処法を概説できる。","安全な麻酔のためのモニタリングの方法、重要な異常所見と対処法を説明できる。","安全な麻酔のためのモニタリングの方法、重要な異常所見と対処法を説明できる。","安全な麻酔のためのモニタリングの方法、重要な異常所見と対処法について理解している。","理解→説明","",2.0,"","安全な麻酔のためのモニタリングの方法、重要な異常所見と対処法について理解している。","","技能で審議しこのままとしました","〜を説明でき、指導医のもとで実施することができる","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","麻酔薬と筋弛緩薬の種類と使用上の原則について理解している。","Jkxir0I","F-02-10-na-03","麻酔薬と筋弛緩薬の種類と使用上の原則を説明できる。","麻酔薬と筋弛緩薬の種類と使用上の原則を説明できる。","麻酔薬と筋弛緩薬の種類と使用上の原則を説明できる。","麻酔薬と筋弛緩薬の種類と使用上の原則について理解している。","理解→説明","",2.0,"","麻酔薬と筋弛緩薬の種類と使用上の原則について理解している。","","技能で審議しこのままとしました","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","吸入麻酔と静脈麻酔の適応、禁忌、方法、事故と合併症について理解している。","Jkxir0M","F-02-10-na-04","吸入麻酔と静脈麻酔の適応、禁忌、方法、事故と合併症を概説できる。","吸入麻酔と静脈麻酔の適応、禁忌、方法、事故と合併症を説明できる。","吸入麻酔と静脈麻酔の適応、禁忌、方法、事故と合併症を説明できる。","吸入麻酔と静脈麻酔の適応、禁忌、方法、事故と合併症について理解している。","理解→説明","",2.0,"","吸入麻酔と静脈麻酔の適応、禁忌、方法、事故と合併症について理解している。","","技能で審議しこのままとしました","吸入麻酔と静脈麻酔の適応、使用方法、禁忌、合併症を説明できる。","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir0Y","F-02-10-na-08","悪性高熱症や神経筋疾患患者における麻酔管理上の注意点を概説できる。","","削除:悪性高熱症や神経筋疾患患者における麻酔管理上の注意点を説明できる。","","","","","","","他と比べて専門家過ぎるため","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir0c","F-02-11-na-01","食行動、食事摂取基準、食事バランス、日本食品標準成分表、補助食品、食物繊維・プロバイオティクス・プレバイオティクスを概説できる。","食行動、食事摂取基準、食事バランス、日本食品標準成分表、補助食品、食物繊維、プロバイオティクス、プレバイオティクスを説明できる。","食行動、食事摂取基準、食事バランス、日本食品標準成分表、補助食品、食物繊維・プロバイオティクス・プレバイオティクスを説明できる。","","日本の医師でできる人がほとんどいないのでは？あとは栄養士との協働で対応可能と考える","",2.0,"","","","","","","","","","","","","","【宮地】個人的には医師としてほとんど使っていない知識なのと、127の栄養士やNSTでの協働ができればいらない知識ではあると思うので、相対的に削除候補かなと思います"
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","栄養アセスメント、栄養ケア・マネジメント、栄養サポートチーム（NST）、疾患別の栄養療法について理解している。","Jkxir0g","F-02-11-na-02","栄養アセスメント、栄養ケア・マネジメント、栄養サポートチーム(nutrition support team <NST>)、疾患別の栄養療法を説明できる。","栄養アセスメント、栄養ケア・マネジメント、栄養サポートチーム（NST）、疾患別の栄養療法を説明できる。","栄養アセスメント、栄養ケア・マネジメント、栄養サポートチーム(nutrition support team <NST>)、疾患別の栄養療法を説明できる。","栄養アセスメント、栄養ケア・マネジメント、栄養サポートチーム（NST）、疾患別の栄養療法について理解している。","理解→説明","",2.0,"","栄養アセスメント、栄養ケア・マネジメント、栄養サポートチーム（NST）、疾患別の栄養療法について理解している。","","技能で審議しこのままとしました","〜を説明し、指導医とともに実施できる","","","","","を理解し、指導医に提案できる。","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir0k","F-02-11-na-03","各種補液製剤（ビタミン、微量元素を含む）の特徴と病態に合わせた適応、投与時の注意事項を説明できる。","","削除:各種補液製剤（ビタミン、微量元素を含む）の特徴と病態に合わせた適応、投与時の注意事項を説明できる。","","","","","","","「経静脈栄養と経管・経腸栄養の適応、方法と合併症、長期投与時の注意事項を説明できる。」に統合(近藤)(2022/2/14)","削除しました","","","","","","を理解し、指導医に提案できる。","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","経静脈栄養と経管・経腸栄養の適応、方法と合併症、長期投与時の注意事項について理解している。","Jkxir0o","F-02-11-na-04,F-02-11-na-03","経静脈栄養と経管・経腸栄養の適応、方法と合併症、長期投与時の注意事項を説明できる。,各種補液製剤（ビタミン、微量元素を含む）の特徴と病態に合わせた適応、投与時の注意事項を説明できる。","経静脈栄養と経管・経腸栄養の適応、方法と合併症、長期投与時の注意事項を説明できる。","経静脈栄養と経管・経腸栄養の適応、方法と合併症、長期投与時の注意事項を説明できる。","経静脈栄養と経管・経腸栄養の適応、方法と合併症、長期投与時の注意事項について理解している。","理解→説明","",2.0,"","経静脈栄養と経管・経腸栄養の適応、方法と合併症、長期投与時の注意事項について理解している。","","技能で審議しこのままとしました","","","","","","を理解し、指導医に提案できる。","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir0s","F-02-11-na-05","乳幼児と小児の輸液療法を説明できる。","","削除:乳幼児と小児の輸液療法を説明できる。","","","","","","","","削除しました","","","","","","を理解し、指導医に提案できる。","","","","【宮地】他のどこでも扱われていないですが、完全に削除でよい？総合で扱う？"
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","主な医療機器の種類と原理について理解している。","Jkxir0w","F-02-12-na-01","主な医療機器の種類と原理を概説できる。","主な医療機器の説明ができる。","主な医療機器の説明ができる。","主な医療機器の種類と原理について理解している。","理解→説明","",2.0,"","主な医療機器の種類と原理について理解している。","","技能で審議しこのままとしました","〜を説明できる","","あまりに漠然としておりカリキュラム策定に反映しにくいのと、主な医療機器の種類を全部あげられる能力は果たして必要なのか疑問があります。「主な医療機器（.....）の原理を概説できる」ではだめでしょうか。","","","を理解し、実習時に安全に留意する？","","医療機器に例示はいかがでしょうか","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","主な人工臓器の種類と原理について理解している。","Jkxir00","F-02-12-na-02","主な人工臓器の種類と原理を概説できる。","主な人工臓器の種類と原理を説明できる。","主な人工臓器の種類と原理を説明できる。","主な人工臓器の種類と原理について理解している。","理解→説明","",2.0,"","主な人工臓器の種類と原理について理解している。","","","人工臓器は概説で十分","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","血液製剤及び血漿分画製剤の種類と適応について理解している。","Jkxir04","F-02-13-na-01","血液製剤及び血漿分画製剤の種類と適応を説明できる。","血液製剤及び血漿分画製剤の種類と適応を説明できる。","血液製剤及び血漿分画製剤の種類と適応を説明できる。","血液製剤及び血漿分画製剤の種類と適応について理解している。","理解→説明","",2.0,"","血液製剤及び血漿分画製剤の種類と適応について理解している。","","技能で審議しこのままとしました","〜を説明でき、指導医のもとで実施できる","","","","","を理解し、指導医に提案できる。","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","輸血副反応、輸血使用記録保管義務、不適合輸血の防止手順について理解している。","Jkxir1A","F-02-13-na-03","輸血副反応、輸血使用記録保管義務、不適合輸血の防止手順を説明できる。","輸血副反応、輸血使用記録保管義務、不適合輸血の防止手順を説明できる。","輸血副反応、輸血使用記録保管義務、不適合輸血の防止手順を説明できる。","輸血副反応、輸血使用記録保管義務、不適合輸血の防止手順について理解している。","理解→説明","",2.0,"","輸血副反応、輸血使用記録保管義務、不適合輸血の防止手順について理解している。","","技能で審議しこのままとしました","〜を説明でき、指導医のもとで行動できる","","","","","を理解し、実習時に安全に留意する？","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","輸血の適正使用、成分輸血、自己血輸血、緊急時の輸血について理解している。","Jkxir1E","F-02-13-na-04","輸血の適正使用、成分輸血、自己血輸血、緊急時の輸血を説明できる。","輸血の適正使用、成分輸血、自己血輸血、緊急時の輸血を説明できる。","輸血の適正使用、成分輸血、自己血輸血、緊急時の輸血を説明できる。","輸血の適正使用、成分輸血、自己血輸血、緊急時の輸血について理解している。","理解→説明","",2.0,"","輸血の適正使用、成分輸血、自己血輸血、緊急時の輸血について理解している。","","技能で審議しこのままとしました","〜を説明でき、指導医のもとで実施できる","","","","","を理解し、実習時に安全に留意する？","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","移植医療（臓器移植、組織移植、造血幹細胞移植等）の我が国と世界の状況について理解している。","Jkxir1I","F-02-13-na-05","臓器移植、造血幹細胞移植の種類と適応を説明できる。","移植医療（臓器移植、組織移植、造血幹細胞移植等）の我が国と世界の状況を説明できる。","移植医療（臓器移植、組織移植、造血幹細胞移植を含む）の我が国と世界の状況を説明できる","移植医療（臓器移植、組織移植、造血幹細胞移植等）の我が国と世界の状況について理解している。","理解→説明","",2.0,"","移植医療（臓器移植、組織移植、造血幹細胞移植等）の我が国と世界の状況について理解している。","査読者コメントを受けて編集、知識への移動も考慮(2022/2/7)(近藤)","対応しました","移植医療（臓器移植、組織移植、造血幹細胞移植を含む）の我が国と世界の状況を概説できる［厚労省・移植学会と調整済］","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","終末期医療における臓器・組織提供選択提示の意義について理解している。","Jkxir1M","F-02-13-na-06","移植と組織適合性の関係を説明できる。","終末期医療における臓器・組織提供選択提示の意義について説明できる。","終末期医療における臓器・組織提供選択提示の意義について説明できる","終末期医療における臓器・組織提供選択提示の意義について理解している。","理解→説明","",2.0,"","終末期医療における臓器・組織提供選択提示の意義について理解している。","査読者コメントを受けて編集、知識への移動も考慮(2022/2/7)(近藤)","対応しました","終末期医療における臓器・組織提供選択提示の意義について説明できる［厚労省・移植学会と調整済］","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","移植における免疫応答（拒絶反応、移植片対宿主病）について理解している。","Jkxir1Q","F-02-13-na-07","移植後の拒絶反応、移植片対宿主病の病態生理と発症時の対応を説明できる。","移植における免疫応答（拒絶反応、移植片対宿主病）について説明できる。","移植における免疫応答（拒絶反応、移植片対宿主病）について説明できる","移植における免疫応答（拒絶反応、移植片対宿主病）について理解している。","理解→説明","",2.0,"","移植における免疫応答（拒絶反応、移植片対宿主病）について理解している。","査読者コメントを受けて編集、知識への移動も考慮(2022/2/7)(近藤)","対応しました","移植における免疫応答（拒絶反応、移植片対宿主病）について概説できる［厚労省・移植学会と調整済］","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","移植後の免疫抑制について理解している。","Jkxir1U","F-02-13-na-08","免疫抑制薬の種類、適応と副作用を説明できる。","移植後の免疫抑制について説明できる。","移植後の免疫抑制について説明できる","移植後の免疫抑制について理解している。","理解→説明","",2.0,"","移植後の免疫抑制について理解している。","査読者コメントを受けて編集、知識への移動も考慮(2022/2/7)(近藤)","対応しました","移植後の免疫抑制について概説できる［厚労省・移植学会と調整済］","","","","","","必要でしょうか？むしろ、臓器提供の項目を入れるべきでは（ほかの層に入っているのかもしれませんが）","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","リハビリテーションの概念と適応について理解している。","Jkxir1Y","F-02-14-na-01,F-02-14-na-03","リハビリテーションの概念と適応（心大血管疾患、呼吸器疾患、癌等の内部障害を含む）を説明できる。,福祉・介護との連携におけるリハビリテーションの役割を説明できる。","リハビリテーションの概念と適応を説明できる。","リハビリテーションの概念と適応を説明できる。","リハビリテーションの概念と適応について理解している。","理解→説明","",2.0,"","リハビリテーションの概念と適応について理解している。","（心大血管疾患、呼吸器疾患、癌等の内部障害を含む）を削除(近藤)(2022/2/14)","技能で審議しこのままとしました","","","","","","を理解し、指導医に提案できる。","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir1c","F-02-14-na-03","福祉・介護との連携におけるリハビリテーションの役割を説明できる。","","削除:福祉・介護との連携におけるリハビリテーションの役割を説明できる。","","","","","","","「リハビリテーションの概念と適応を説明できる。」に統合","","","","","","","を理解し、指導医に提案できる。","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","機能障害と日常生活動作（ADL）の評価ができる。","Jkxir1g","F-02-14-na-05","機能障害と日常生活動作(activities of daily living <ADL>)の評価ができる。","機能障害と日常生活動作（ADL）の評価ができる。","機能障害と日常生活動作(activities of daily living <ADL>)の評価ができる。","機能障害と日常生活動作（ADL）の評価ができる。","","",2.0,"","機能障害と日常生活動作（ADL）の評価ができる。","","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","理学療法、作業療法と言語聴覚療法について理解している。","Jkxir1k","F-02-14-na-06,F-02-14-na-02","理学療法、作業療法と言語聴覚療法を概説できる。,リハビリテーション・チームの構成を理解し、医師の役割を説明できる。","理学療法、作業療法と言語聴覚療法を説明できる。","理学療法、作業療法と言語聴覚療法を説明できる。","理学療法、作業療法と言語聴覚療法について理解している。","","",2.0,"","理学療法、作業療法と言語聴覚療法について理解している。","","技能で審議しこのままとしました","","","","","","を理解し、指導医に提案できる。","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","主な歩行補助具、車椅子、義肢（義手、義足）と装具について理解している。","Jkxir1o","F-02-14-na-07","主な歩行補助具、車椅子、義肢（義手、義足）と装具を概説できる。","主な歩行補助具、車椅子、義肢（義手、義足）と装具を説明できる。","主な歩行補助具、車椅子、義肢（義手、義足）と装具を説明できる。","主な歩行補助具、車椅子、義肢（義手、義足）と装具について理解している。","","",2.0,"","主な歩行補助具、車椅子、義肢（義手、義足）と装具について理解している。","","技能で審議しこのままとしました","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir1s","F-02-15-na-01","在宅医療の在り方、今後の必要性と課題を概説できる。","","削除:在宅医療の在り方、今後の必要性と課題を説明できる。","","","","","","","総合へ","削除しました","総合で扱っているかもしれません。相談を","","「在り方」として全国均一に定められたものはあるのでしょうか？ない場合、カリキュラム作成者独自の解釈により異なる「在り方」が扱われることになります。「在宅医療の適応、現状、今後の必要性と課題を概説できる」のほうが明確では？","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir1w","F-02-15-na-04","在宅における人生の最終段階における医療、看取りの在り方と課題を概説できる。","","削除:在宅における人生の最終段階における医療、看取りの在り方と課題を説明できる。","","","","","","","総合へ","削除しました","","","上記同様、「在り方」を「現状」へ変更することを提案","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir10","F-02-15-na-05","介護の定義と種類を説明できる。","","削除:介護の定義と種類を説明できる。","","","","","","","社会へ","削除しました","介護については方略にも記載されると思いますが、説明できればいいというより、指導医とともに参画するような動詞を用いてもよいのではないでしょうか","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir14","F-02-15-na-06","日常生活動作<ADL>（排泄、摂食、入浴等）に応じた介護と環境整備の要点を概説できる。","","削除:日常生活動作<ADL>（排泄、摂食、入浴等）に応じた介護と環境整備の要点を説明できる。","","","","","","","総合へ","削除しました","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir18","F-02-15-na-07","地域包括ケアシステムと介護保険制度、障害者総合支援法等の医療保健福祉制度を概説できる。","","削除:地域包括ケアシステムと介護保険制度、障害者総合支援法等の医療保健福祉制度を説明できる。","","","","","","","社会へ","削除しました","技能チームとしては、意見書などを指導医と作成するなどは入れなくていいですか？総合チームでしょうか","","","","","を理解し、指導医に提案できる。","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir2A","F-02-16-na-02","全人的苦痛を説明できる。","","削除:全人的苦痛を説明できる。","","","","","","","総合へ","","","","","","","","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir2E","F-02-16-na-03","緩和ケアにおいて頻度の高い身体的苦痛、心理社会的苦痛を列挙することができる。","緩和ケアにおいて頻度の高い身体的苦痛、心理社会的苦痛を列挙することができる。","緩和ケアにおいて頻度の高い身体的苦痛、心理社会的苦痛を列挙することができる。","","総合30と重複","",2.0,"","","","技能で審議しこのままとしました","心理的と社会的は分けて記載？
ここは列挙でなくせめて概説","","全人的苦痛は通常、身体的苦痛・精神心理的苦痛・社会的苦痛・スピリチュアルペインから構成されますので、精神心理的苦痛と社会的苦痛は別にしたほうが適切だと思います。「緩和ケアにおいて頻度の高い、身体的・心理的・社会的苦痛を列挙できる」https://www.mhlw.go.jp/content/10901000/000826532.pdf","","","を理解し、指導医に提案できる？","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir2I","F-02-16-na-04","疼痛のアセスメント、疼痛緩和の薬物療法、癌疼痛治療法を説明できる。","疼痛のアセスメント、疼痛緩和の薬物療法、癌疼痛治療法を説明できる。","疼痛のアセスメント、疼痛緩和の薬物療法、癌疼痛治療法を説明できる。","","総合31と重複","",2.0,"","","","技能で審議しこのままとしました","説明でき、指導医とともに実施できる","","医師国家試験出題基準にあわせて薬物療法以外に拡げる必要はない？「疼痛のアセスメント、疼痛緩和の薬物療法（癌疼痛治療法を含む）、緩和的外科治療、緩和的放射線治療について説明できる」とすべきでは。","","","を理解し、指導医に提案できる。？","","","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir2M","F-02-16-na-05","オピオイドの適応と課題を説明できる。","","削除:オピオイドの適応と課題を説明できる。","","","","","","","","削除しました","適応、使用方法、禁忌、合併症を説明できる","","「課題」が何をさすか曖昧でわかりにくいので、他とあわせて「オピオイドの適応、有害事象、投与時の注意事項を説明できる。」","","","を理解し、指導医に提案できる？","","100と重なります","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir2Q","F-02-16-na-06","緩和ケアにおける患者・家族の心理を説明できる。","","削除:緩和ケアにおける患者・家族の心理を説明できる。","","","","","","","","削除しました","","","死にゆく課程に対する心理ということならば、総合71、コミュ24で扱われており、削除でよい。積極的がん治療と並行した緩和ケアそのものに対する心理を扱うということであれば、知識274に統合し「がん治療と同時に行われる支持療法・緩和ケア、およびそれにおける患者・家族の心理を説明できる」として削除でよいのでは。","","","","","155と重なります","",""
"患者情報の統合、分析と評価、診療計画","治療(計画・経過の評価)","","Jkxir2U","F-03-04-na-02","科学的根拠に基づいた治療法を述べることができる。","","削除:科学的根拠に基づいた治療法を述べることができる。","","","","","","","","削除しました","EBMは総合にあるので、ここに必要でしょうか","社会と重なる","ややメタなので、第４層よりは第２層で扱われるべきだと思います。EBMが総合なのでそちらの第２層に入れるか、技能の第２層か迷います。","","","","","総合と重なります","",""
